plant_id,similar_plants
1,"[{'plant_id': 317, 'common_name': 'Near East Crapemyrtle', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 327, 'common_name': 'Fastigiatum Tuliptree', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 2284, 'common_name': 'Bermuda grass', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 791, 'common_name': 'pineapple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 792, 'common_name': 'pineapple', 'cycle': 'Perennial', 'watering': 'Frequent'}]"
2,"[{'plant_id': 295, 'common_name': 'Patmore Green Ash', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 331, 'common_name': 'Gold Star Magnolia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 289, 'common_name': 'Kadota Fig', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 291, 'common_name': ""Peter's Honey Fig"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 294, 'common_name': 'Leprechaun Green Ash', 'cycle': 'Perennial', 'watering': 'Average'}]"
3,"[{'plant_id': 3000, 'common_name': 'greenstem forsythia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1959, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1944, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1945, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1946, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}]"
4,"[{'plant_id': 295, 'common_name': 'Patmore Green Ash', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 418, 'common_name': 'grand fir', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 430, 'common_name': 'koa', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 428, 'common_name': 'flowering-maple', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 170, 'common_name': 'Armstrong Maple', 'cycle': 'Perennial', 'watering': 'Average'}]"
5,"[{'plant_id': 1843, 'common_name': 'glory of the snow', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 1652, 'common_name': 'palm sedge', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 373, 'common_name': 'Macintosh Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 136, 'common_name': 'Ueno Homare Japanese Maple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 370, 'common_name': 'Liberty Apple', 'cycle': 'Perennial', 'watering': 'Frequent'}]"
6,"[{'plant_id': 3000, 'common_name': 'greenstem forsythia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1959, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1944, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1945, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1946, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}]"
7,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
8,"[{'plant_id': 3000, 'common_name': 'greenstem forsythia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1959, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1944, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1945, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1946, 'common_name': 'clematis', 'cycle': 'Perennial', 'watering': 'Average'}]"
9,"[{'plant_id': 295, 'common_name': 'Patmore Green Ash', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 418, 'common_name': 'grand fir', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 430, 'common_name': 'koa', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 428, 'common_name': 'flowering-maple', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 170, 'common_name': 'Armstrong Maple', 'cycle': 'Perennial', 'watering': 'Average'}]"
10,"[{'plant_id': 707, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 433, 'common_name': ""red hot cat's tail"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 706, 'common_name': 'seaside alder', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 355, 'common_name': 'Candied Apple Flowering Crab', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 766, 'common_name': 'coastal serviceberry', 'cycle': 'Perennial', 'watering': 'Average'}]"
